"muni_code","muni_state","muni_name","comarca","state_codetj","comarca_codetj"
3534757,"SP","ouroeste","ouroeste","25","0696"
3534807,"SP","ouro verde","dracena","25","0168"
3534906,"SP","pacaembu","pacaembu","25","0411"
3535002,"SP","palestina","palestina","25","0412"
3535101,"SP","palmares paulista","santa adélia","25","0531"
3535200,"SP","palmeira d'oeste","palmeira d'oeste","25","0414"
3535309,"SP","palmital","palmital","25","0415"
3535408,"SP","panorama","panorama","25","0416"
3535507,"SP","paraguaçu paulista","paraguaçu paulista","25","0417"
3535606,"SP","paraibuna","paraibuna","25","0418"
3535705,"SP","paraíso","monte azul paulista","25","0370"
3535804,"SP","paranapanema","paranapanema","25","0420"
3535903,"SP","paranapuã","jales","25","0297"
3535903,"SP","paranapuã","jales","25","0697"
3536000,"SP","parapuã","osvaldo cruz","25","0407"
3536109,"SP","pardinho","botucatu","25","0079"
3536208,"SP","pariquera-açu","pariquera-açu","25","0424"
3536257,"SP","parisi","votuporanga","25","0664"
3536257,"SP","parisi","votuporanga","25","0690"
3536307,"SP","patrocínio paulista","patrocínio paulista","25","0426"
3536406,"SP","paulicéia","panorama","25","0416"
3536505,"SP","paulínia","paulínia","25","0428"
3536570,"SP","paulistânia","agudos","25","0058"
3536604,"SP","paulo de faria","paulo de faria","25","0430"
3536604,"SP","paulo de faria","paulo de faria","25","0683"
3536703,"SP","pederneiras","pederneiras","25","0431"
3536802,"SP","pedra bela","bragança paulista","25","0099"
3536901,"SP","pedranópolis","fernandópolis","25","0189"
3537008,"SP","pedregulho","pedregulho","25","0434"
3537107,"SP","pedreira","pedreira","25","0435"
3537156,"SP","pedrinhas paulista","maracaí","25","0341"
3537206,"SP","pedro de toledo","itariri","25","0280"
3537305,"SP","penápolis","penápolis","25","0438"
3537404,"SP","pereira barreto","pereira barreto","25","0439"
3537404,"SP","pereira barreto","pereira barreto","25","0687"
3537503,"SP","pereiras","conchas","25","0145"
3537602,"SP","peruíbe","peruíbe","25","0441"
3537701,"SP","piacatu","bilac","25","0076"
3537800,"SP","piedade","piedade","25","0443"
3537909,"SP","pilar do sul","pilar do sul","25","0444"
3538006,"SP","pindamonhangaba","pindamonhangaba","25","0445"
3538105,"SP","pindorama","catanduva","25","0132"
3538204,"SP","pinhalzinho","pinhalzinho","25","0447"
3538303,"SP","piquerobi","santo anastácio","25","0553"
3538501,"SP","piquete","piquete","25","0449"
3538600,"SP","piracaia","piracaia","25","0450"
3538600,"SP","piracaia","piracaia","25","0694"
3538709,"SP","piracicaba","piracicaba","25","0451"
3538808,"SP","piraju","piraju","25","0452"
